"","Iteration","Seconds"
"1191","Final",1988
"1192","Final",2476
"1193","Final",1877
"1194","Final",1969
"1195","Final",2638
"1196","Final",2153
"1197","Final",2336
"1198","Final",2405
"1199","Final",2555
"1200","Final",2539
"1201","Final",2151
"1202","Final",2160
"1203","Final",2394
"1204","Final",1988
"1205","Final",2338
"1206","Final",2563
"1207","Final",2354
"1208","Final",2153
"1209","Final",2334
"1210","Final",2626
"1211","Final",2224
"1212","Final",2336
"1213","Final",2016
"1214","Final",2534
"1215","Final",2572
"1216","Final",2097
"1217","Final",2442
"1218","Final",2277
"1219","Final",2453
"1220","Final",2446
"1221","Final",2567
"1222","Final",2210
"1223","Final",2197
"1224","Final",2569
"1225","Final",2453
"1226","Final",2664
"1227","Final",1705
"1228","Final",2329
"1229","Final",2092
"1230","Final",2256
"1231","Final",2159
"1232","Final",2531
"1233","Final",2213
"1234","Final",2418
"1235","Final",2350
"1236","Final",2421
"1237","Final",2584
"1238","Final",2195
"1239","Final",2001
"1240","Final",2405
"1241","Final",2209
"1242","Final",2463
"1243","Final",2159
"1244","Final",2530
"1245","Final",2417
"1246","Final",2317
"1247","Final",2454
"1248","Final",2254
"1249","Final",2165
"1250","Final",2643
"1251","Final",2703
"1252","Final",2452
"1253","Final",2333
"1254","Final",2486
"1255","Final",1948
"1256","Final",2639
"1257","Final",2348
"1258","Final",2702
"1259","Final",2114
"1260","Final",1888
"1261","Final",2351
"1262","Final",2165
"1263","Final",2625
"1264","Final",2433
"1265","Final",2448
"1266","Final",2575
"1267","Final",2400
"1268","Final",2186
"1269","Final",2149
"1270","Final",2123
"1271","Final",2486
"1272","Final",2225
"1273","Final",2390
"1274","Final",2069
"1275","Final",2556
"1276","Final",2584
"1277","Final",2630
"1278","Final",2486
"1279","Final",2226
"1280","Final",1969
"1281","Final",2399
"1282","Final",2294
"1283","Final",2706
"1284","Final",2417
"1285","Final",2410
"1286","Final",2448
"1287","Final",2476
"1288","Final",2563
"1289","Final",2568
"1290","Final",2481
"1291","Final",1825
"1292","Final",2420
"1293","Final",2418
"1294","Final",2114
"1295","Final",2650
"1296","Final",2201
"1297","Final",2161
"1298","Final",2417
"1299","Final",2262
"1300","Final",2519
"1301","Final",2170
"1302","Final",2068
"1303","Final",2459
"1304","Final",2078
"1305","Final",2291
"1306","Final",2597
"1307","Final",2170
